site  ID  session  run  trial  cue  prepost  group  pressFreq  pressVar  nRewards  nResponse  outcomeliking  hunger
Hamburg  117  1  4  8  Devalued  pre  3-day  4.575363e+00  9.674296e-02  1  91  1  10
Hamburg  117  1  4  9  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  4  10  Valued  pre  3-day  5.068079e+00  9.475324e-02  1  102  2  10
Hamburg  117  1  4  11  Devalued  pre  3-day  4.774597e+00  2.602141e-02  0  95  1  10
Hamburg  117  1  4  12  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  4  13  Valued  pre  3-day  4.650542e+00  1.571708e-01  4  98  2  10
Hamburg  117  1  4  14  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  4  15  Devalued  pre  3-day  4.635533e+00  1.307766e-01  4  191  1  10
Hamburg  117  1  4  16  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  4  17  Devalued  pre  3-day  5.051343e+00  1.018924e-01  1  101  1  10
Hamburg  117  1  4  18  Valued  pre  3-day  5.042238e+00  8.642442e-02  2  202  2  10
Hamburg  117  1  4  19  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  4  20  Valued  pre  3-day  5.001276e+00  9.931112e-02  1  100  2  10
Hamburg  117  2  1  1  Valued  pre  3-day  4.676890e+00  1.666999e-01  3  93  3  9
Hamburg  117  2  1  2  Rest  pre  3-day  0  0  0  0  NaN  9
Hamburg  117  2  1  3  Devalued  pre  3-day  4.617193e+00  1.854700e-01  4  93  2  9
Hamburg  117  2  1  4  Rest  pre  3-day  0  0  0  0  NaN  9
Hamburg  117  2  1  5  Devalued  pre  3-day  5.125746e+00  7.077676e-02  1  205  2  9
Hamburg  117  2  1  6  Rest  pre  3-day  0  0  0  0  NaN  9
Hamburg  117  2  1  7  Valued  pre  3-day  4.829409e+00  1.327406e-01  2  97  3  9
Hamburg  117  2  1  8  Devalued  pre  3-day  4.217174e+00  1.743201e-01  3  84  2  9
Hamburg  117  2  1  9  Valued  pre  3-day  4.388701e+00  1.283056e-01  2  88  3  9
Hamburg  117  2  1  10  Devalued  pre  3-day  4.619339e+00  1.177439e-01  3  185  2  9
Hamburg  117  2  1  11  Rest  pre  3-day  0  0  0  0  NaN  9
Hamburg  117  2  1  12  Valued  pre  3-day  4.779218e+00  1.016996e-01  1  96  3  9
Hamburg  117  2  1  13  Rest  pre  3-day  0  0  0  0  NaN  9
Hamburg  117  2  1  14  Valued  pre  3-day  4.437084e+00  1.157596e-01  3  178  3  9
Hamburg  117  2  1  15  Rest  pre  3-day  0  0  0  0  NaN  9
Hamburg  117  2  1  16  Devalued  pre  3-day  4.743097e+00  1.325333e-01  2  96  2  9
Hamburg  117  2  1  17  Valued  pre  3-day  4.371440e+00  1.414667e-01  5  174  3  9
Hamburg  117  2  1  18  Rest  pre  3-day  0  0  0  0  NaN  9
Hamburg  117  2  1  19  Devalued  pre  3-day  4.890667e+00  1.334466e-01  2  98  2  9
Hamburg  117  2  1  20  Rest  pre  3-day  0  0  0  0  NaN  9
Hamburg  117  2  2  1  Rest  pre  3-day  0  0  0  0  NaN  9
Hamburg  117  2  2  2  Devalued  pre  3-day  4.686646e+00  1.084925e-01  1  94  2  9
Hamburg  117  2  2  3  Valued  pre  3-day  5.001668e+00  2.769689e-02  0  100  3  9
Hamburg  117  2  2  4  Rest  pre  3-day  0  0  0  0  NaN  9
Hamburg  117  2  2  5  Valued  pre  3-day  4.812265e+00  9.570086e-02  2  193  3  9
Hamburg  117  2  2  6  Rest  pre  3-day  0  0  0  0  NaN  9
Hamburg  117  2  2  7  Devalued  pre  3-day  4.138670e+00  1.546058e-01  2  83  2  9
Hamburg  117  2  2  8  Valued  pre  3-day  3.350175e+00  2.396502e-01  6  68  3  9
Hamburg  117  2  2  9  Rest  pre  3-day  0  0  0  0  NaN  9
