site  ID  session  run  trial  cue  prepost  group  pressFreq  pressVar  nRewards  nResponse  outcomeliking  hunger
Caltech1  56  1  2  4  Valued  pre  1-day  4.854082e+00  1.202327e-01  1  98  4  9
Caltech1  56  1  2  5  Devalued  pre  1-day  4.837385e+00  1.319898e-01  1  96  5  9
Caltech1  56  1  2  6  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  56  1  2  7  Devalued  pre  1-day  4.930332e+00  1.424335e-01  1  99  5  9
Caltech1  56  1  2  8  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  56  1  2  9  Valued  pre  1-day  5.057834e+00  1.132017e-01  1  102  4  9
Caltech1  56  1  2  10  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  56  1  2  11  Devalued  pre  1-day  5.065547e+00  1.273892e-01  2  203  5  9
Caltech1  56  1  2  12  Valued  pre  1-day  5.390872e+00  1.217424e-01  2  215  4  9
Caltech1  56  1  2  13  Devalued  pre  1-day  4.736178e+00  1.835089e-01  3  95  5  9
Caltech1  56  1  2  14  Valued  pre  1-day  5.562836e+00  9.021410e-02  1  222  4  9
Caltech1  56  1  2  15  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  56  1  2  16  Devalued  pre  1-day  4.889401e+00  1.788510e-01  3  98  5  9
Caltech1  56  1  2  17  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  56  1  2  18  Devalued  pre  1-day  5.242605e+00  1.140686e-01  1  210  5  9
Caltech1  56  1  2  19  Valued  pre  1-day  5.472403e+00  1.261648e-01  2  110  4  9
Caltech1  56  1  2  20  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  56  1  3  1  Valued  post  1-day  4.682439e+00  1.226690e-01  0  94  4  3
Caltech1  56  1  3  2  Devalued  post  1-day  4.215376e+00  1.046221e-01  0  86  -5  3
Caltech1  56  1  3  3  Rest  post  1-day  0  0  0  0  NaN  3
Caltech1  56  1  3  4  Devalued  post  1-day  4.867271e+00  1.006912e-01  0  98  -5  3
Caltech1  56  1  3  5  Rest  post  1-day  0  0  0  0  NaN  3
Caltech1  56  1  3  6  Valued  post  1-day  5.768351e+00  6.277418e-02  0  117  4  3
Caltech1  56  1  3  7  Devalued  post  1-day  4.674266e+00  9.040564e-02  0  94  -5  3
Caltech1  56  1  3  8  Rest  post  1-day  0  0  0  0  NaN  3
Caltech1  56  1  3  9  Valued  post  1-day  5.845480e+00  7.634728e-02  0  117  4  3
Caltech1  57  1  1  1  Valued  pre  1-day  4.772494e+00  7.867375e-02  0  93  3  9
Caltech1  57  1  1  2  Devalued  pre  1-day  4.159333e+00  1.331696e-01  2  83  3  9
Caltech1  57  1  1  3  Valued  pre  1-day  4.316604e+00  1.337339e-01  2  86  3  9
Caltech1  57  1  1  4  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  57  1  1  5  Devalued  pre  1-day  4.720668e+00  1.306185e-01  2  95  3  9
Caltech1  57  1  1  6  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  57  1  1  7  Valued  pre  1-day  4.683448e+00  1.306825e-01  2  94  3  9
Caltech1  57  1  1  8  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  57  1  1  9  Valued  pre  1-day  4.525630e+00  1.468384e-01  2  91  3  9
